항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승무원승선수,승무원하선수,승객승선수,승객하선수,승객,예선,도선,부선호출부호1,부선호출부호2
부산,DSFS5,SUNNY MAPLE,2024,039,최종,외항,출항,"3,981",2024-07-18 05:30,2024-07-18 21:24,2024-07-18 21:24,2024-07-19 08:30,기타,24KMTC2938E,MB6,01,자성대부두 61선석,IMARI,SATSUMASENDAI,풀컨테이너선,4,11,,,,,,Y,Y,,
부산,3E6005,STAR REX,2024,011,최종,외항,출항,"1,996",2024-07-18 06:00,2024-07-19 13:00,2024-07-19 13:00,2024-07-19 16:57,기타,24CTYSSR22E,MK5,03,감천 5부두 3선석,SAKAISENBOKU,광양,일반화물선,2,9,,,,,,Y,Y,,
부산,3E6005,STAR REX,2024,011,최종,외항,입항,"1,996",2024-07-18 06:00,2024-07-19 13:00,2024-07-18 06:00,2024-07-19 16:57,기타,24CTYSSR21I,MK5,03,감천 5부두 3선석,SAKAISENBOKU,광양,일반화물선,2,9,,,,,,Y,Y,,
부산,BCFD5,LURONGYUANYUYUN998,2024,001,최종,외항,출항,"2,225",2024-07-18 06:02,2024-07-18 13:04,2024-07-18 13:00,2024-07-18 14:32,기타,24KMAGH080E,WAN,03,남외항 N-3박지,OCEAN DISTRICT,TAIZHOU,원양 어선,,26,,,,,,N,N,,
부산,BCFD5,LURONGYUANYUYUN998,2024,001,최종,외항,입항,"2,225",2024-07-18 06:02,2024-07-18 13:04,2024-07-18 07:00,2024-07-18 14:32,기타,24KMAGH080I,WAN,03,남외항 N-3박지,OCEAN DISTRICT,TAIZHOU,원양 어선,,26,,,,,,N,N,,
부산,V7ER7,MORNING PILOT,2024,001,최종,외항,출항,"65,276",2024-07-18 06:20,2024-07-18 19:00,2024-07-18 19:00,2024-07-23 09:21,기타,24EUKOMP09E,MFL,01,신항 다목적부두연결잔교,SHANGHAI,울산,자동차운반선,13,14,5,4,,,,Y,Y,,
부산,V7ER7,MORNING PILOT,2024,001,최종,외항,입항,"65,276",2024-07-18 06:20,2024-07-18 19:00,2024-07-18 06:20,2024-07-22 09:37,기타,24EUKOV787I,MFL,01,신항 다목적부두연결잔교,SHANGHAI,울산,자동차운반선,12,14,5,4,,,,Y,Y,,
부산,9HA4133,CMA CGM NIAGARA,2024,002,최종,외항,출항,"95,680",2024-07-18 06:42,2024-07-19 16:53,2024-07-19 16:00,2024-07-22 09:24,기타,24CMAL0367E,MS5,02,신항 5부두 2선석,SHEKOU PT,SHANGHAI,풀컨테이너선,,25,,,,,,Y,Y,,
부산,9HA4133,CMA CGM NIAGARA,2024,002,최종,외항,입항,"95,680",2024-07-18 06:42,2024-07-19 16:53,2024-07-18 06:00,2024-07-18 09:47,기타,24CMAL0367I,MS5,02,신항 5부두 2선석,SHEKOU PT,SHANGHAI,풀컨테이너선,,25,,,,,,Y,Y,,
부산,3E3785,SKY IRIS,2024,013,최종,외항,입항,"9,940",2024-07-18 06:50,2024-07-18 22:45,2024-07-18 06:50,2024-07-19 09:16,기타,24CKCO0705I,MB6,02,자성대부두 62선석,HAIPHONG,군산,풀컨테이너선,2,16,3,3,,,,Y,Y,,
부산,3E3785,SKY IRIS,2024,013,최종,외항,출항,"9,940",2024-07-18 06:50,2024-07-18 22:45,2024-07-18 22:45,2024-07-19 09:16,기타,24CKCO1551E,MB6,02,자성대부두 62선석,HAIPHONG,군산,풀컨테이너선,2,16,3,3,,,,Y,Y,,
부산,D7EF,SM KWANGYANG,2024,010,최종,외항,출항,"74,962",2024-07-18 06:50,2024-07-19 03:48,2024-07-19 03:48,2024-07-19 09:38,기타,24SMLME124E,MS3,04,신항 3부두 4선석,LONG BEACH,NINGBO,풀컨테이너선,10,12,3,1,,,,Y,Y,,
부산,D7EF,SM KWANGYANG,2024,010,최종,외항,입항,"74,962",2024-07-18 06:50,2024-07-19 03:48,2024-07-18 06:50,2024-07-19 09:27,기타,24SMLM0124I,MS3,04,신항 3부두 4선석,LONG BEACH,NINGBO,풀컨테이너선,8,12,3,1,,,,Y,Y,,
부산,9V6633,KAYING,2024,002,최종,외항,출항,"22,360",2024-07-18 06:58,2024-07-18 12:01,2024-07-18 12:01,2024-07-18 15:41,기타,24BLAK3004E,WAM,09,M박지 M9 묘지,"KANDA, FUKUOKA",VANCOUVER,산물선(벌크선),,18,,,,,,Y,Y,,
부산,9V6633,KAYING,2024,002,최종,외항,입항,"22,360",2024-07-18 06:58,2024-07-18 12:01,2024-07-18 06:58,2024-07-18 15:41,기타,24BLAK3004I,WAM,09,M박지 M9 묘지,"KANDA, FUKUOKA",VANCOUVER,산물선(벌크선),,18,,,,,,Y,Y,,
부산,DSFS8,SEONG HEE,2024,083,최종,외항,출항,"8,076",2024-07-18 07:00,2024-07-18 21:00,2024-07-18 18:10,2024-07-19 08:29,기타,24PKFC0718E,MBF,11,국제여객터미널 11선석,SHIMONOSEKI,SHIMONOSEKI,국제카페리,26,,1,2,257,53,257,N,N,,
부산,DSFS8,SEONG HEE,2024,083,최종,외항,입항,"8,076",2024-07-18 07:00,2024-07-18 21:00,2024-07-18 08:00,2024-07-19 08:29,기타,24PKFC0717I,MBF,11,국제여객터미널 11선석,SHIMONOSEKI,SHIMONOSEKI,국제카페리,27,,1,2,,,53,N,N,,
부산,875713,2005삼양호,2024,001,최종,내항,입항,33,2024-07-18 07:10,2026-09-12 06:15,,2026-09-14 10:19,기타,,OLT,01,대교동호안,기타항,기타항,기타 예선,2,0,0,0,0,0,0,N,N,,
부산,CQSA,MSC BREMERHAVEN V,2024,004,최종,외항,입항,"49,477",2024-07-18 07:13,2024-07-19 04:02,2024-07-18 07:00,2024-07-18 09:47,기타,24MSCU4339I,MSN,01,신항 1부두 1선석,QINGDAO,TANJUNG PELEPAS,풀컨테이너선,,24,,,,,,Y,Y,,
부산,CQSA,MSC BREMERHAVEN V,2024,004,최종,외항,출항,"49,477",2024-07-18 07:13,2024-07-19 04:02,2024-07-19 04:00,2024-07-19 09:32,기타,24MSCU1253E,MSN,01,신항 1부두 1선석,QINGDAO,TANJUNG PELEPAS,풀컨테이너선,,24,,,,,,Y,Y,,
부산,CQEB7,MSC AURIGA,2024,001,최종,외항,입항,"149,525",2024-07-18 07:22,2024-07-20 03:17,2024-07-18 07:00,2024-07-18 09:47,기타,24MSCU4319I,MSN,03,신항 1부두 3선석,MANZANILLO,NINGBO,풀컨테이너선,,22,4,3,,,,Y,Y,,
부산,CQEB7,MSC AURIGA,2024,001,최종,외항,출항,"149,525",2024-07-18 07:22,2024-07-20 03:17,2024-07-20 03:00,2024-07-22 09:25,기타,24MSCU1246E,MSN,03,신항 1부두 3선석,MANZANILLO,NINGBO,풀컨테이너선,,23,4,3,,,,Y,Y,,
부산,200009,송양1호,2024,031,최종,내항,출항,"1,200",2024-07-18 07:35,2024-07-18 14:05,,2024-07-19 08:33,기타,,MDY,01,영도(KOCO) 돌핀,울산,울산,석유제품 운반선,6,6,0,0,0,0,0,Y,N,,
부산,200009,송양1호,2024,031,최종,내항,입항,"1,200",2024-07-18 07:35,2024-07-18 14:05,,2024-07-19 08:33,기타,,MDY,01,영도(KOCO) 돌핀,울산,울산,석유제품 운반선,6,6,0,0,0,0,0,Y,N,,
부산,5IM791,DONG YI,2024,003,최종,외항,출항,"1,411",2024-07-18 07:36,2024-09-01 08:05,2024-09-01 08:05,2024-09-03 13:07,기타,24GOMSD501E,WAN,02,남외항 N-2박지,OCEAN DISTRICT,부산,일반화물선,,9,,,,,,Y,N,,
부산,5IM791,DONG YI,2024,003,최종,외항,입항,"1,411",2024-07-18 07:36,2024-09-01 08:05,2024-07-18 07:36,2024-09-03 13:07,기타,24GOMSA501I,WAN,02,남외항 N-2박지,OCEAN DISTRICT,부산,일반화물선,,9,5,5,,,,Y,N,,
부산,BZ8VN,SHUN ZE 87,2024,001,최종,외항,입항,946,2024-07-18 07:45,2024-07-18 18:24,2024-07-18 08:30,2024-07-19 16:28,기타,24NAMCA017I,WAN,03,남외항 N-3박지,OCEAN DISTRICT,ZHOUSHAN,원양 어선,,25,16,,,,,N,N,,
부산,BZ8VN,SHUN ZE 87,2024,001,최종,외항,출항,946,2024-07-18 07:45,2024-07-18 18:24,2024-07-18 18:00,2024-07-19 16:28,기타,24NAMCD017E,WAN,03,남외항 N-3박지,OCEAN DISTRICT,ZHOUSHAN,원양 어선,,41,16,,,,,N,N,,
부산,3FNL9,AH EVER,2024,001,최종,외항,출항,"8,438",2024-07-18 07:46,2024-07-18 13:24,2024-07-18 13:00,2024-07-18 16:45,기타,24DOOS1033E,WAN,03,남외항 N-3박지,GEORGETOWN,TIANJIN,일반화물선,,18,,,,,,N,N,,
부산,3FNL9,AH EVER,2024,001,최종,외항,입항,"8,438",2024-07-18 07:46,2024-07-18 13:24,2024-07-18 10:00,2024-07-18 16:45,기타,24DOOS1033I,WAN,03,남외항 N-3박지,GEORGETOWN,TIANJIN,일반화물선,,18,,,,,,N,N,,
부산,961095,광일호,2024,185,최종,내항,입항,68,2024-07-18 08:15,2024-07-18 09:30,,2024-07-24 12:53,기타,,MW5,01,5물량장 1선석,기타항,기타항,석유제품 운반선,2,0,0,0,0,0,0,N,N,,
부산,961095,광일호,2024,185,최종,내항,출항,68,2024-07-18 08:15,2024-07-18 09:30,,2024-07-24 12:53,기타,,MW5,01,5물량장 1선석,기타항,기타항,석유제품 운반선,2,0,0,0,0,0,0,N,N,,
부산,VROO7,PAPUAN CHIEF,2024,003,최종,외항,입항,"18,723",2024-07-18 08:20,2024-07-20 20:46,2024-07-18 08:00,2024-07-18 17:39,기타,24CNCO0703I,MSL,01,신항 다목적부두,YOKOHAMA,TIANJIN,세미(혼재)컨테이너선,,28,4,5,,,,Y,Y,,
부산,VROO7,PAPUAN CHIEF,2024,003,최종,외항,출항,"18,723",2024-07-18 08:20,2024-07-20 20:46,2024-07-20 20:00,2024-07-22 09:26,기타,24CNCO0704E,MS7,02,신항 7부두 2선석,YOKOHAMA,TIANJIN,세미(혼재)컨테이너선,,27,4,5,,,,Y,Y,,
부산,060333,15영신,2024,413,최종,내항,입항,40,2024-07-18 08:30,2024-07-18 09:35,,2024-07-24 16:49,기타,,MYF,01,선기조합-01(포코),기타항,기타항,기타선,1,1,0,0,0,0,0,N,N,,
부산,060333,15영신,2024,413,최종,내항,출항,40,2024-07-18 08:30,2024-07-18 09:35,,2024-07-24 16:49,기타,,MYF,01,선기조합-01(포코),기타항,기타항,기타선,1,1,0,0,0,0,0,N,N,,
부산,9HA5560,CMA CGM APOLLON,2024,001,최종,외항,출항,"154,995",2024-07-18 08:33,2024-07-19 10:01,2024-07-19 09:00,2024-07-22 09:25,기타,24CMAL0378E,MS5,04,신항 5부두 4선석,MANZANILLO,SHANGHAI,풀컨테이너선,,29,3,2,,,,Y,Y,,
부산,9HA5560,CMA CGM APOLLON,2024,001,최종,외항,입항,"154,995",2024-07-18 08:33,2024-07-19 10:01,2024-07-18 08:00,2024-07-18 09:19,기타,24CMAL0378I,MS5,04,신항 5부두 4선석,MANZANILLO,SHANGHAI,풀컨테이너선,,28,3,2,,,,Y,Y,,
부산,VRSN8,KOTA LUKIS,2024,010,최종,외항,입항,"39,906",2024-07-18 08:38,2024-07-19 03:47,2024-07-18 08:38,2024-07-19 09:28,기타,24SMLM0135I,MS3,03,신항 3부두 3선석,SEATTLE,SHANGHAI,풀컨테이너선,,28,3,4,,,,Y,Y,,
부산,VRSN8,KOTA LUKIS,2024,010,최종,외항,출항,"39,906",2024-07-18 08:38,2024-07-19 03:47,2024-07-19 03:47,2024-07-19 09:38,기타,24SMLME135E,MS3,03,신항 3부두 3선석,SEATTLE,SHANGHAI,풀컨테이너선,,27,3,4,,,,Y,Y,,
부산,230033,보원호,2024,061,최종,내항,출항,528,2024-07-18 08:40,2024-07-18 21:25,,2024-07-19 11:14,기타,,MW5,01,5물량장 1선석,하동화력,울산,기타 유조선,4,2,0,0,0,0,0,N,N,,
부산,230033,보원호,2024,061,최종,내항,입항,528,2024-07-18 08:40,2024-07-18 21:25,,2024-07-19 11:14,기타,,MW5,01,5물량장 1선석,하동화력,울산,기타 유조선,4,2,0,0,0,0,0,N,N,,
부산,9V5675,ALS FLORA,2024,001,최종,외항,출항,"40,487",2024-07-18 08:48,2024-07-19 03:00,2024-07-19 02:00,2024-07-22 09:36,기타,24CMAL0377E,MS5,01,신항 5부두 1선석,ENSENADA,QINGDAO,풀컨테이너선,,21,,,,,,Y,Y,,
부산,9V5675,ALS FLORA,2024,001,최종,외항,입항,"40,487",2024-07-18 08:48,2024-07-19 03:00,2024-07-18 07:00,2024-07-18 17:31,기타,24CMAL0377I,MS5,01,신항 5부두 1선석,ENSENADA,QINGDAO,풀컨테이너선,,21,,,,,,Y,Y,,
부산,970714,11보경호,2024,026,최종,내항,입항,149,2024-07-18 08:50,2024-07-18 09:30,,2024-07-19 13:08,기타,,*LP,01,대평동호안,기타항,기타항,석유제품 운반선,2,0,0,0,0,0,0,N,N,,
부산,970714,11보경호,2024,026,최종,내항,출항,149,2024-07-18 08:50,2024-07-18 09:30,,2024-07-19 13:08,기타,,*LP,01,대평동호안,기타항,기타항,석유제품 운반선,2,0,0,0,0,0,0,N,N,,
부산,3FCY9,MAERSK NORESUND,2024,005,최종,외항,입항,"25,805",2024-07-18 08:59,2024-07-18 22:49,2024-07-18 09:00,2024-07-18 17:32,기타,24MAEU0627I,MSN,04,신항 2부두 1선석,광양,HIBIKISHINKO,풀컨테이너선,,21,,,,,,Y,Y,,
부산,3FCY9,MAERSK NORESUND,2024,005,최종,외항,출항,"25,805",2024-07-18 08:59,2024-07-18 22:49,2024-07-18 23:00,2024-07-19 09:32,기타,24MAEU0627E,MSN,04,신항 2부두 1선석,광양,HIBIKISHINKO,풀컨테이너선,,21,,,,,,Y,Y,,
부산,DSEX8,SUNNY OAK,2024,054,최종,외항,입항,"3,994",2024-07-18 09:00,2024-07-19 07:00,2024-07-18 09:00,2024-07-19 09:30,기타,24KMTC2965I,WAE,01,E박지 E1 묘지,울산,HIROSHIMA,풀컨테이너선,3,12,,,,,,Y,Y,,
부산,DSEX8,SUNNY OAK,2024,054,최종,외항,출항,"3,994",2024-07-18 09:00,2024-07-19 07:00,2024-07-19 07:00,2024-07-19 09:31,기타,24KMTC2966E,MB6,04,자성대부두 64선석,울산,HIROSHIMA,풀컨테이너선,3,12,,,,,,Y,Y,,
