항명,호출부호,선명,입항횟수,입항횟수,구분,외내,입출,총톤수,입항일시,출항일시,CIQ수속일자,수리일시,항해구분,MRN 번호,계선장소,계선장소,계선장소,차항지,전출항지,선박용도,"외항:한국인선원수
내항:해기사선원수","외항:외국인선원수
내항:보통선원수",승무원승선수,승무원하선수,승객승선수,승객하선수,승객,예선,도선,부선호출부호1,부선호출부호2
부산,UBFR7,TSARITSA,2023,001,최종,외항,출항,"7,646",2023-03-01 12:25,2024-01-14 13:41,2024-01-14 13:00,2024-01-15 12:59,기타,24GSSBM995E,WAN,03,남외항 N-3박지,VLADIVOSTOK,NAKHODKA,원양 어선,,33,13,24,,,,Y,Y,,
부산,UILW,FLAGMAN,2023,001,최종,외항,출항,822,2023-03-19 09:10,2024-02-24 10:20,2024-02-24 09:20,2024-02-26 08:42,기타,24KTIAM210E,MYQ,01,기타 북항사설조선소,VLADIVOSTOK,VLADIVOSTOK,원양 어선,,12,12,15,,,,Y,Y,,
부산,UBCQ3,NEPTUNE,2023,003,최종,외항,출항,555,2023-03-27 11:30,2024-07-25 08:00,2024-07-25 07:00,2024-07-30 09:46,기타,24GSSBM999E,MK5,03,감천 5부두 3선석,진해,부산,원양 어선,,1,1,16,7,,7,Y,Y,,
부산,890214,삼양109호,2023,002,최종,내항,출항,32,2023-04-05 10:40,2024-06-08 07:30,,2024-09-19 12:44,기타,,MK5,07,해양조선,기타항,기타항,기타 예선,2,0,0,0,0,0,0,N,N,,
부산,V3NS7,DUMO,2023,001,최종,외항,출항,660,2023-05-05 07:50,2024-02-17 08:15,2024-02-17 07:15,2024-02-20 15:47,기타,24GSSBM994E,*YQ,01,기타 남항 사설조선소,감천,HACHINOHE,냉동.냉장선,,11,11,6,,,,Y,Y,,
부산,021412,29조양호,2024,001,최종,내항,출항,67,2023-05-12 16:18,2024-10-08 09:40,,2024-10-08 16:03,폐선예정,,*LP,01,대평동호안,기타항,대불,견인용예선,0,0,0,0,0,0,0,N,N,,
부산,945162,금양호,2023,001,최종,내항,출항,68,2023-05-19 12:47,2024-02-27 12:25,,2024-12-05 13:02,기타,,MW5,01,5물량장 1선석,기타항,여수,석유제품 운반선,2,0,0,0,0,0,0,N,N,,
부산,940691,제5해성,2023,002,최종,내항,출항,59,2023-05-23 09:30,2024-03-15 08:20,,2024-12-03 16:04,기타,,MW5,01,5물량장 1선석,기타항,기타항,석유제품 운반선,2,1,0,0,0,0,0,N,N,,
부산,020136,골드스타호,2023,003,최종,내항,출항,110,2023-05-26 12:00,2024-01-30 15:00,,2024-05-14 09:05,기타,,MK4,05,감천 4부두 5선석,기타항,기타항,기타 예선,2,2,0,0,0,0,0,N,N,,
부산,021727,엠에스2호,2023,001,최종,내항,출항,52,2023-06-07 13:25,2024-04-24 08:08,,2024-04-24 15:09,기타,,MW5,01,5물량장 1선석,기타항,기타항,석유제품 운반선,1,2,0,0,0,0,0,N,N,,
부산,UDRA,KRYMSKIY,2023,008,최종,외항,출항,676,2023-06-13 15:35,2024-03-21 17:24,2024-03-21 16:24,2024-03-22 15:40,기타,24KTIAM211E,MYQ,01,기타 북항사설조선소,VLADIVOSTOK,VLADIVOSTOK,원양 어선,,15,,14,,,,Y,Y,,
부산,230025,부광9호,2023,001,최종,내항,출항,"1,045",2023-06-16 09:00,2024-01-12 09:00,,2024-01-16 10:32,기타,,MBE,Q1,감만부두 동측안벽 1 선석,울산,SHIMONOSEKI,석유제품 운반선,5,3,0,0,0,0,0,Y,N,,
부산,106479,오승호,2023,017,최종,내항,출항,48,2023-06-16 12:35,2024-03-01 07:40,,2024-03-06 15:27,기타,,MWB,01,봉래동물량장,기타항,기타항,석유제품 운반선,1,1,0,0,0,0,0,N,N,,
부산,D7IO,새바다호,2023,001,최종,내항,출항,"4,356",2023-06-22 09:00,2024-02-29 09:00,,2025-03-11 11:22,"실습선,관공선",,MQD,01,대선조선안벽,통영,감천,관공선,13,0,0,0,0,0,0,Y,Y,,
부산,UBRW5,FREGAT,2023,003,최종,외항,출항,664,2023-07-04 17:00,2024-02-25 14:00,2024-02-25 13:00,2024-02-28 14:56,기타,24KTIAM209E,MK4,01,감천 4부두 1선석(국제수산물부두),VLADIVOSTOK,OKHOTSK,원양 어선,,22,22,29,,,,Y,Y,,
부산,130042,골드 마린7,2023,002,최종,내항,출항,194,2023-07-12 15:00,2024-03-18 17:20,,2024-03-25 12:56,기타,,*LP,01,대평동호안,기타항,기타항,기타 예선,3,0,0,0,0,0,0,N,N,,
